Weapon,Case,Rarity,Min Wear,Max Wear,Case_1,StatTrak Factory New,StatTrak Minimal Wear,StatTrak Field-Tested,StatTrak Well-Worn,StatTrak Battle-Scarred,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred
Glock-18,Water Elemental,Classified Pistol,0.00,0.70,Operation Breakout Weapon Case,$63.25,$30.09,$15.94,$19.52,$13.68,$13.13,$6.76,$4.17,$6.35,$3.70
Glock-18,Umbral Rabbit,Restricted Pistol,0.00,0.75,Revolution Case,$6.93,$3.37,$1.12,$1.77,$0.73,$1.92,$1.01,$0.36,$0.43,$0.27
Glock-18,Moonrise,Restricted Pistol,0.00,0.65,Clutch Case,$4.66,$1.93,$0.69,$1.41,$0.64,$1.44,$0.70,$0.31,$0.40,$0.29
Glock-18,Weasel,Restricted Pistol,0.00,1.00,Gamma 2 Case,$11.46,$2.68,$1.06,$0.81,$0.73,$2.09,$0.63,$0.30,$0.27,$0.27
Glock-18,Royal Legion,Restricted Pistol,0.00,1.00,Operation Wildfire Case,$32.94,$7.52,$4.02,$3.83,$3.46,$7.86,$3.16,$2.53,$2.13,$2.10
Glock-18,Grinder,Restricted Pistol,0.02,0.25,Operation Vanguard Weapon Case,$8.52,$6.52,$6.55,Not Possible,Not Possible,$2.25,$1.76,$1.90,Not Possible,Not Possible
Glock-18,Steel Disruption,Restricted Pistol,0.00,0.20,eSports 2014 Summer Case,$13.15,$10.07,$10.48,Not Possible,Not Possible,$5.18,$5.21,$5.14,Not Possible,Not Possible
Glock-18,Dragon Tattoo,Restricted Pistol,0.00,0.08,CS:GO Weapon Case,$273.78,$287.64,Not Possible,Not Possible,Not Possible,$93.09,$93.09,Not Possible,Not Possible,Not Possible
Glock-18,Winterized,Mil-Spec Pistol,0.00,1.00,Recoil Case,$3.22,$0.37,$0.14,$0.13,$0.13,$0.30,$0.13,$0.08,$0.07,$0.07
Glock-18,Clear Polymer,Mil-Spec Pistol,0.00,1.00,Snakebite Case,$3.65,$0.70,$0.27,$0.23,$0.23,$0.57,$0.16,$0.09,$0.09,$0.09
Glock-18,Sacrifice,Mil-Spec Pistol,0.00,1.00,CS20 Case,$7.70,$1.23,$0.50,$0.31,$0.32,$1.15,$0.20,$0.16,$0.09,$0.10
Glock-18,Oxide Blaze,Mil-Spec Pistol,0.00,0.85,Danger Zone Case,$1.63,$0.37,$0.14,$0.28,$0.15,$0.31,$0.13,$0.08,$0.09,$0.08
Glock-18,Warhawk,Mil-Spec Pistol,0.00,1.00,Horizon Case,$5.03,$0.65,$0.31,$0.25,$0.23,$0.66,$0.26,$0.18,$0.17,$0.17
Glock-18,Off World,Mil-Spec Pistol,0.00,1.00,Spectrum 2 Case,$5.02,$0.58,$0.26,$0.23,$0.26,$0.59,$0.13,$0.09,$0.09,$0.09
Glock-18,Ironwork,Mil-Spec Pistol,0.00,1.00,Glove Case,$8.48,$1.08,$0.43,$0.29,$0.29,$1.29,$0.19,$0.12,$0.11,$0.11
Glock-18,Wraiths,Mil-Spec Pistol,0.00,0.80,Shadow Case,$4.48,$1.00,$0.32,$2.27,$0.35,$0.82,$0.30,$0.13,$0.28,$0.12
Glock-18,Bunsen Burner,Mil-Spec Pistol,0.00,0.80,Falchion Case,$7.20,$1.46,$0.57,$2.41,$0.77,$1.30,$0.35,$0.21,$0.27,$0.23
Glock-18,Catacombs,Mil-Spec Pistol,0.00,0.50,Chroma Case,$2.13,$1.04,$0.57,$1.51,$1.58,$0.42,$0.30,$0.19,$0.27,$1.30
Glock-18,Blue Fissure,Mil-Spec Pistol,0.06,0.58,CS:GO Weapon Case 3,$103.22,$7.54,$2.89,$5.54,$2.50,$19.66,$2.25,$1.65,$2.35,$1.85
P2000,Fire Elemental,Covert Pistol,0.00,0.60,Operation Vanguard Weapon Case,$218.42,$108.99,$74.93,$174.74,$70.97,$37.51,$19.55,$12.89,$16.38,$14.77
P2000,Wicked Sick,Classified Pistol,0.00,1.00,Revolution Case,$40.82,$13.80,$6.13,$4.04,$3.23,$14.44,$6.48,$3.02,$1.96,$1.74
P2000,Imperial Dragon,Classified Pistol,0.00,0.63,Gamma Case,$32.86,$15.23,$7.64,$12.13,$12.08,$8.75,$4.76,$3.00,$3.38,$4.39
P2000,Corticera,Classified Pistol,0.06,0.30,eSports 2014 Summer Case,$60.23,$23.86,$20.75,Not Possible,Not Possible,$17.54,$7.49,$7.42,Not Possible,Not Possible
P2000,Ocean Foam,Classified Pistol,0.00,0.12,Operation Bravo Case,$506.58,$557.37,Not Possible,Not Possible,Not Possible,$150.00,$142.38,Not Possible,Not Possible,Not Possible
P2000,Acid Etched,Restricted Pistol,0.00,1.00,Prisma 2 Case,$9.48,$2.50,$1.10,$0.84,$0.76,$2.53,$0.80,$0.38,$0.34,$0.31
P2000,Obsidian,Restricted Pistol,0.00,1.00,Shattered Web Case,$26.00,$10.08,$3.77,$2.18,$2.44,$11.61,$4.17,$2.00,$1.39,$1.23
P2000,Woodsman,Restricted Pistol,0.00,0.80,Operation Hydra Case,$28.12,$20.43,$14.75,$16.71,$13.82,$15.53,$8.59,$7.15,$6.51,$5.75
P2000,Handgun,Restricted Pistol,0.00,1.00,Falchion Case,$21.22,$4.60,$2.42,$1.43,$1.24,$5.81,$1.75,$0.73,$0.54,$0.48
P2000,Lifted Spirits,Mil-Spec Pistol,0.00,1.00,Dreams & Nightmares Case,$0.95,$0.32,$0.14,$0.13,$0.18,$0.24,$0.11,$0.08,$0.07,$0.07
P2000,Gnarled,Mil-Spec Pistol,0.00,1.00,Fracture Case,$1.20,$0.26,$0.12,$0.12,$0.11,$0.25,$0.11,$0.07,$0.07,$0.07
P2000,Urban Hazard,Mil-Spec Pistol,0.00,1.00,Clutch Case,$1.21,$0.27,$0.11,$0.11,$0.11,$0.29,$0.11,$0.07,$0.07,$0.07
P2000,Turf,Mil-Spec Pistol,0.00,1.00,Glove Case,$5.03,$0.83,$0.29,$0.23,$0.23,$0.99,$0.18,$0.11,$0.12,$0.10
P2000,Oceanic,Mil-Spec Pistol,0.00,0.60,Chroma 3 Case,$1.22,$0.52,$0.16,$0.21,$0.15,$0.28,$0.14,$0.08,$0.10,$0.08
P2000,Imperial,Mil-Spec Pistol,0.00,0.20,Revolver Case,$1.51,$1.09,$0.84,Not Possible,Not Possible,$0.37,$0.24,$0.15,Not Possible,Not Possible
P2000,Ivory,Mil-Spec Pistol,0.00,1.00,Operation Breakout Weapon Case,$3.77,$0.52,$0.27,$0.24,$0.18,$0.64,$0.14,$0.09,$0.08,$0.08
P2000,Pulse,Mil-Spec Pistol,0.00,0.60,Huntsman Weapon Case,$3.00,$2.32,$1.72,$1.85,$1.65,$2.50,$2.39,$2.72,$2.96,$2.72
P2000,Red FragCam,Mil-Spec Pistol,0.00,0.70,CS:GO Weapon Case 3,$7.77,$3.79,$3.01,$3.49,$2.48,$2.47,$1.91,$1.61,$1.50,$1.47
P250,See Ya Later,Covert Pistol,0.00,0.70,Spectrum 2 Case,$55.94,$20.27,$8.60,$15.89,$8.99,$10.92,$5.44,$2.72,$4.46,$2.54
P250,Visions,Classified Pistol,0.00,0.70,Recoil Case,$25.70,$11.96,$6.03,$5.18,$4.40,$10.15,$5.46,$3.07,$2.92,$2.41
P250,Asiimov,Classified Pistol,0.10,1.00,Chroma 3 Case,Not Possible,$70.52,$12.50,$9.94,$7.54,Not Possible,$21.06,$3.05,$2.71,$1.44
P250,Muertos,Classified Pistol,0.00,0.60,Chroma Case,$32.72,$16.41,$13.11,$15.30,$15.37,$9.78,$5.48,$4.40,$5.45,$5.22
P250,Cartel,Classified Pistol,0.00,0.75,Operation Vanguard Weapon Case,$83.43,$24.03,$16.44,$18.00,$16.93,$17.10,$6.82,$5.13,$6.57,$5.68
P250,Undertow,Classified Pistol,0.00,0.20,CS:GO Weapon Case 3,$69.69,$48.00,$44.55,Not Possible,Not Possible,$60.95,$53.75,$56.29,Not Possible,Not Possible
P250,Mehndi,Classified Pistol,0.00,1.00,Winter Offensive Weapon Case,$111.70,$43.88,$38.32,$26.22,$27.55,$25.13,$14.87,$12.01,$12.28,$11.77
P250,Cyber Shell,Restricted Pistol,0.00,0.85,Snakebite Case,$3.74,$1.26,$0.43,$0.57,$0.39,$1.41,$0.54,$0.23,$0.25,$0.23
P250,Inferno,Restricted Pistol,0.00,0.68,CS20 Case,$5.11,$2.36,$1.32,$1.85,$0.92,$1.87,$1.03,$0.71,$0.57,$0.51
P250,X-Ray,Restricted Pistol,0.00,0.30,X-Ray P250 Package,$3.26,$1.64,$1.42,Not Possible,Not Possible,$0.50,$0.28,$0.25,Not Possible,Not Possible
P250,Nevermore,Restricted Pistol,0.00,0.40,Danger Zone Case,$3.79,$1.89,$1.40,$3.08,Not Possible,$1.43,$0.78,$0.55,$0.65,Not Possible
P250,Red Rock,Restricted Pistol,0.00,1.00,Operation Hydra Case,$27.30,$18.00,$12.68,$10.88,$11.68,$13.15,$8.80,$7.27,$6.90,$6.27
P250,Wingshot,Restricted Pistol,0.00,0.90,Shadow Case,$12.93,$6.60,$3.15,$2.47,$2.12,$4.69,$2.21,$1.27,$1.16,$1.07
P250,Supernova,Restricted Pistol,0.00,0.40,Operation Breakout Weapon Case,$4.71,$2.56,$1.86,$2.50,Not Possible,$1.45,$0.82,$0.58,$1.12,Not Possible
P250,Splash,Restricted Pistol,0.06,0.18,eSports 2013 Case,$85.22,$43.14,$33.65,Not Possible,Not Possible,$48.21,$22.37,$29.49,Not Possible,Not Possible
P250,Re.built,Mil-Spec Pistol,0.00,0.90,Revolution Case,$1.21,$0.40,$0.16,$0.14,$0.14,$0.28,$0.12,$0.08,$0.07,$0.07
P250,Contaminant,Mil-Spec Pistol,0.00,0.70,Operation Broken Fang Case,$2.78,$1.10,$0.47,$1.24,$0.36,$0.81,$0.54,$0.58,$0.47,$0.47
P250,Cassette,Mil-Spec Pistol,0.00,0.60,Fracture Case,$0.70,$0.25,$0.12,$0.12,$0.11,$0.20,$0.11,$0.07,$0.07,$0.07
P250,Verdigris,Mil-Spec Pistol,0.00,0.70,Prisma Case,$1.77,$0.76,$0.29,$0.27,$0.24,$0.53,$0.27,$0.13,$0.15,$0.21
P250,Ripple,Mil-Spec Pistol,0.00,0.50,Spectrum Case,$0.96,$0.69,$0.35,$0.30,$0.37,$0.31,$0.24,$0.19,$0.19,$0.19
P250,Iron Clad,Mil-Spec Pistol,0.05,0.80,Gamma Case,$2.72,$0.36,$0.19,$0.21,$0.16,$0.47,$0.15,$0.10,$0.12,$0.10
P250,Valence,Mil-Spec Pistol,0.00,0.80,Chroma 2 Case,$3.13,$0.80,$0.25,$0.95,$0.24,$0.65,$0.17,$0.09,$0.14,$0.09
P250,Steel Disruption,Mil-Spec Pistol,0.00,0.20,eSports 2013 Winter Case,$6.81,$5.36,$5.89,Not Possible,Not Possible,$1.99,$1.80,$1.76,Not Possible,Not Possible
P250,Hive,Mil-Spec Pistol,0.00,0.30,CS:GO Weapon Case 2,$8.47,$7.03,$6.93,Not Possible,Not Possible,$6.90,$6.22,$5.47,Not Possible,Not Possible
R8 Revolver,Fade,Covert Pistol,0.00,0.40,Revolver Case,$80.09,$39.58,$24.24,$42.84,Not Possible,$19.62,$8.70,$6.13,$7.89,Not Possible
R8 Revolver,Skull Crusher,Classified Pistol,0.25,0.80,Prisma Case,Not Possible,Not Possible,$3.27,$2.71,$2.91,Not Possible,Not Possible,$1.53,$1.29,$1.19
R8 Revolver,Llama Cannon,Classified Pistol,0.03,0.70,Spectrum 2 Case,$34.88,$12.00,$5.25,$6.00,$4.14,$11.75,$4.57,$2.47,$2.25,$1.88
R8 Revolver,Banana Cannon,Restricted Pistol,0.00,1.00,Revolution Case,$6.24,$1.95,$0.80,$0.69,$0.69,$2.07,$0.85,$0.34,$0.27,$0.25
R8 Revolver,Crazy 8,Restricted Pistol,0.00,1.00,Recoil Case,$6.30,$2.36,$1.27,$1.05,$1.03,$2.24,$0.98,$0.53,$0.42,$0.42
R8 Revolver,Reboot,Restricted Pistol,0.00,1.00,Gamma Case,$13.80,$3.60,$1.31,$1.16,$1.04,$3.17,$1.05,$0.46,$0.35,$0.35
R8 Revolver,Junk Yard,Mil-Spec Pistol,0.00,1.00,Snakebite Case,$1.63,$0.57,$0.25,$0.23,$0.24,$0.47,$0.15,$0.11,$0.09,$0.09
R8 Revolver,Bone Forged,Mil-Spec Pistol,0.00,0.60,Prisma 2 Case,$0.80,$0.31,$0.17,$0.15,$0.12,$0.20,$0.11,$0.07,$0.07,$0.07
R8 Revolver,Memento,Mil-Spec Pistol,0.00,0.80,Shattered Web Case,$7.63,$1.88,$0.93,$1.12,$0.70,$1.85,$1.08,$1.09,$1.28,$1.21
R8 Revolver,Survivalist,Mil-Spec Pistol,0.00,0.70,Horizon Case,$1.34,$0.63,$0.28,$0.25,$0.18,$0.37,$0.23,$0.13,$0.15,$0.11
R8 Revolver,Grip,Mil-Spec Pistol,0.00,1.00,Clutch Case,$1.09,$0.26,$0.12,$0.11,$0.12,$0.30,$0.11,$0.07,$0.07,$0.07
R8 Revolver,Crimson Web,Mil-Spec Pistol,0.06,0.80,Revolver Case,$32.66,$1.15,$0.24,$0.27,$0.21,$3.95,$0.23,$0.09,$0.09,$0.07
Tec-9,Decimator,Classified Pistol,0.00,0.75,Shattered Web Case,$159.98,$72.26,$27.85,$36.98,$25.66,$54.02,$25.87,$10.48,$10.95,$8.41
Tec-9,Fuel Injector,Classified Pistol,0.00,1.00,Gamma 2 Case,$59.69,$13.86,$7.32,$5.60,$5.56,$13.85,$5.35,$2.44,$2.11,$1.87
Tec-9,Brother,Restricted Pistol,0.00,1.00,Fracture Case,$3.93,$1.51,$0.75,$0.51,$0.51,$1.58,$0.69,$0.37,$0.29,$0.28
Tec-9,Bamboozle,Restricted Pistol,0.00,0.80,Prisma Case,$4.43,$1.57,$0.55,$1.03,$0.53,$1.32,$0.61,$0.25,$0.30,$0.27
Tec-9,Re-Entry,Restricted Pistol,0.00,0.43,Chroma 3 Case,$4.71,$1.68,$0.81,$1.21,Not Possible,$1.35,$0.64,$0.37,$0.41,Not Possible
Tec-9,Avalanche,Restricted Pistol,0.00,1.00,Revolver Case,$13.80,$5.75,$2.57,$2.08,$1.40,$3.95,$1.80,$0.93,$0.55,$0.53
Tec-9,Titanium Bit,Restricted Pistol,0.00,0.20,CS:GO Weapon Case 3,$18.56,$14.83,$14.27,Not Possible,Not Possible,$8.10,$7.40,$6.99,Not Possible,Not Possible
Tec-9,Rebel,Mil-Spec Pistol,0.00,1.00,Revolution Case,$1.34,$0.38,$0.16,$0.14,$0.15,$0.30,$0.12,$0.08,$0.07,$0.07
Tec-9,Flash Out,Mil-Spec Pistol,0.00,0.70,CS20 Case,$1.04,$0.35,$0.15,$0.28,$0.15,$0.24,$0.15,$0.16,$0.12,$0.09
Tec-9,Fubar,Mil-Spec Pistol,0.14,1.00,Danger Zone Case,Not Possible,$3.45,$0.15,$0.13,$0.11,Not Possible,$1.33,$0.08,$0.07,$0.07
Tec-9,Snek-9,Mil-Spec Pistol,0.00,1.00,Horizon Case,$3.13,$0.62,$0.28,$0.19,$0.17,$0.54,$0.21,$0.14,$0.12,$0.12
Tec-9,Cracked Opal,Mil-Spec Pistol,0.00,1.00,Spectrum 2 Case,$1.50,$0.35,$0.15,$0.12,$0.11,$0.32,$0.11,$0.09,$0.07,$0.07
Tec-9,Cut Out,Mil-Spec Pistol,0.00,1.00,Operation Hydra Case,$19.16,$5.87,$4.09,$3.36,$3.50,$7.70,$3.51,$3.27,$2.25,$2.64
Tec-9,Ice Cap,Mil-Spec Pistol,0.00,0.50,Gamma Case,$1.62,$0.96,$0.35,$0.60,$0.72,$0.49,$0.23,$0.11,$0.12,$0.12
Tec-9,Jambiya,Mil-Spec Pistol,0.00,1.00,Operation Wildfire Case,$3.12,$1.04,$0.53,$0.42,$0.42,$1.15,$0.54,$0.55,$0.38,$0.41
Tec-9,Isaac,Mil-Spec Pistol,0.00,1.00,Huntsman Weapon Case,$34.28,$5.63,$2.62,$1.88,$1.53,$11.59,$3.13,$3.00,$2.44,$2.20
Tec-9,Sandstorm,Mil-Spec Pistol,0.10,0.70,Operation Phoenix Weapon Case,Not Possible,$3.11,$0.46,$0.74,$0.36,Not Possible,$1.30,$0.28,$0.24,$0.21
Tec-9,Blue Titanium,Mil-Spec Pistol,0.00,0.04,CS:GO Weapon Case 2,$10.14,Not Possible,Not Possible,Not Possible,Not Possible,$7.64,Not Possible,Not Possible,Not Possible,Not Possible
USP-S,Printstream,Covert Pistol,0.00,0.85,Recoil Case,$355.00,$144.33,$80.00,$84.54,$59.88,$126.40,$62.96,$39.23,$39.30,$29.48
USP-S,The Traitor,Covert Pistol,0.00,1.00,Snakebite Case,$236.58,$70.00,$37.14,$29.80,$28.40,$58.73,$19.87,$12.58,$9.82,$8.85
USP-S,Neo-Noir,Covert Pistol,0.00,0.70,Spectrum Case,$161.17,$68.81,$41.49,$58.71,$38.45,$41.95,$22.51,$15.70,$17.59,$13.54
USP-S,Kill Confirmed,Covert Pistol,0.00,1.00,Shadow Case,$661.88,$264.50,$150.04,$119.48,$115.01,$191.60,$81.85,$49.71,$41.94,$40.25
USP-S,Monster Mashup,Classified Pistol,0.00,0.70,Operation Broken Fang Case,$106.23,$56.88,$28.00,$31.91,$25.11,$42.66,$28.63,$17.28,$16.50,$15.70
USP-S,Cortex,Classified Pistol,0.00,1.00,Clutch Case,$35.26,$10.95,$5.63,$4.37,$3.70,$10.76,$3.92,$2.01,$1.66,$1.55
USP-S,Caiman,Classified Pistol,0.00,0.40,Huntsman Weapon Case,$117.61,$100.94,$67.17,$71.68,Not Possible,$62.96,$52.36,$40.19,$44.77,Not Possible
USP-S,Orion,Classified Pistol,0.00,0.50,The Huntsman Collection,$159.17,$120.14,$104.79,$149.77,$251.89,$64.06,$52.32,$51.33,$63.13,$84.55
USP-S,Serum,Classified Pistol,0.00,0.25,CS:GO Weapon Case 2,$94.49,$67.23,$57.00,Not Possible,Not Possible,$65.51,$41.45,$40.78,Not Possible,Not Possible
USP-S,Ticket to Hell,Restricted Pistol,0.00,0.76,Dreams & Nightmares Case,$9.17,$3.40,$1.31,$2.13,$1.07,$1.80,$0.73,$0.29,$0.49,$0.24
USP-S,Flashback,Restricted Pistol,0.00,0.50,Danger Zone Case,$3.88,$2.01,$1.30,$2.47,$3.19,$1.35,$0.76,$0.48,$0.50,$0.52
USP-S,Cyrex,Restricted Pistol,0.00,0.55,Glove Case,$15.27,$7.13,$3.69,$6.53,$3.93,$3.35,$1.87,$1.08,$1.57,$1.24
USP-S,Guardian,Restricted Pistol,0.00,0.38,Operation Phoenix Weapon Case,$12.05,$7.66,$4.30,Not Possible,Not Possible,$5.26,$3.45,$2.56,Not Possible,Not Possible
USP-S,Overgrowth,Restricted Pistol,0.06,0.80,Operation Bravo Case,$325.49,$76.67,$52.58,$47.10,$53.31,$81.54,$29.45,$26.40,$27.40,$26.22
USP-S,Dark Water,Restricted Pistol,0.10,0.26,CS:GO Weapon Case,Not Possible,$164.28,$142.31,Not Possible,Not Possible,Not Possible,$78.11,$71.00,Not Possible,Not Possible
USP-S,Black Lotus,Mil-Spec Pistol,0.00,0.90,Operation Riptide Case,$34.24,$6.36,$3.03,$2.73,$2.50,$6.00,$1.61,$0.82,$0.65,$0.54
USP-S,Blueprint,Mil-Spec Pistol,0.00,0.86,Operation Hydra Case,$149.50,$37.80,$12.95,$17.48,$11.30,$40.14,$11.61,$4.91,$7.24,$3.60
USP-S,Lead Conduit,Mil-Spec Pistol,0.00,1.00,Operation Wildfire Case,$16.48,$3.46,$1.91,$1.65,$1.54,$3.01,$0.78,$0.57,$0.46,$0.42
USP-S,Torque,Mil-Spec Pistol,0.00,0.46,Falchion Case,$4.48,$2.99,$1.74,$2.72,$3.30,$1.46,$1.06,$0.60,$0.62,$2.30
USP-S,Blood Tiger,Mil-Spec Pistol,0.00,0.30,eSports 2014 Summer Case,$10.62,$3.27,$3.18,Not Possible,Not Possible,$5.54,$2.01,$1.95,Not Possible,Not Possible
USP-S,Stainless,Mil-Spec Pistol,0.00,0.80,CS:GO Weapon Case 3,$95.63,$29.99,$16.22,$24.54,$13.30,$21.29,$8.46,$3.79,$6.45,$2.94
MAC-10,Stalker,Covert SMG,0.00,1.00,Shattered Web Case,$374.91,$100.47,$45.86,$38.77,$31.67,$73.50,$26.02,$14.29,$12.43,$12.67
MAC-10,Neon Rider,Covert SMG,0.00,0.45,Chroma 2 Case,$45.92,$25.07,$20.99,$21.85,Not Possible,$11.24,$7.96,$6.55,$6.98,Not Possible
MAC-10,Toybox,Classified SMG,0.00,1.00,Operation Riptide Case,$56.50,$19.50,$9.09,$8.70,$6.67,$18.00,$6.28,$3.86,$3.68,$3.49
MAC-10,Disco Tech,Classified SMG,0.00,1.00,Prisma 2 Case,$47.08,$15.69,$6.84,$4.37,$4.15,$13.80,$5.43,$2.55,$1.69,$1.55
MAC-10,Sakkaku,Restricted SMG,0.21,0.79,Revolution Case,Not Possible,Not Possible,$3.65,$1.67,$0.81,Not Possible,Not Possible,$1.18,$0.48,$0.25
MAC-10,Button Masher,Restricted SMG,0.00,1.00,Snakebite Case,$3.56,$1.15,$0.43,$0.41,$0.40,$1.34,$0.49,$0.24,$0.23,$0.23
MAC-10,Allure,Restricted SMG,0.00,1.00,Fracture Case,$4.50,$1.51,$0.66,$0.51,$0.52,$1.50,$0.69,$0.37,$0.28,$0.25
MAC-10,Pipe Down,Restricted SMG,0.00,0.90,Danger Zone Case,$7.87,$1.88,$1.05,$0.87,$0.80,$2.03,$0.80,$0.48,$0.46,$0.42
MAC-10,Last Dive,Restricted SMG,0.00,0.52,Spectrum Case,$7.08,$3.68,$2.99,$2.62,$2.50,$3.06,$1.75,$1.51,$1.42,$1.43
MAC-10,Malachite,Restricted SMG,0.00,0.50,Chroma Case,$11.07,$8.00,$3.52,$4.18,$2.72,$3.47,$2.26,$1.34,$1.34,$1.29
MAC-10,Tatter,Restricted SMG,0.00,0.50,Huntsman Weapon Case,$18.97,$15.72,$12.58,$11.42,$12.04,$10.69,$9.02,$7.76,$7.25,$8.10
MAC-10,Curse,Restricted SMG,0.00,0.50,The Huntsman Collection,$24.08,$16.24,$13.04,$19.27,$35.65,$10.64,$8.52,$8.19,$10.31,$11.30
MAC-10,Heat,Restricted SMG,0.00,1.00,Operation Phoenix Weapon Case,$17.51,$7.52,$3.73,$3.54,$3.07,$6.48,$3.48,$2.30,$2.00,$1.85
MAC-10,Graven,Restricted SMG,0.06,0.80,Operation Bravo Case,$191.73,$69.27,$49.45,$54.22,$50.38,$61.71,$30.66,$27.39,$29.58,$26.02
MAC-10,Monkeyflage,Mil-Spec SMG,0.00,1.00,Recoil Case,$1.00,$0.29,$0.14,$0.12,$0.12,$0.26,$0.13,$0.08,$0.07,$0.07
MAC-10,Ensnared,Mil-Spec SMG,0.00,0.90,Dreams & Nightmares Case,$1.46,$0.34,$0.14,$0.14,$0.17,$0.26,$0.11,$0.07,$0.07,$0.07
MAC-10,Classic Crate,Mil-Spec SMG,0.00,1.00,CS20 Case,$1.50,$0.27,$0.13,$0.12,$0.12,$0.30,$0.16,$0.15,$0.09,$0.09
MAC-10,Whitefish,Mil-Spec SMG,0.00,1.00,Prisma Case,$2.53,$1.23,$0.27,$0.21,$0.20,$0.57,$0.25,$0.13,$0.09,$0.09
MAC-10,Oceanic,Mil-Spec SMG,0.00,0.60,Spectrum 2 Case,$0.84,$0.37,$0.15,$0.19,$0.13,$0.23,$0.13,$0.09,$0.08,$0.08
MAC-10,Aloha,Mil-Spec SMG,0.00,0.65,Operation Hydra Case,$7.39,$4.85,$3.72,$3.97,$3.60,$3.41,$3.25,$3.64,$2.66,$2.76
MAC-10,Carnivore,Mil-Spec SMG,0.00,1.00,Gamma Case,$2.30,$0.39,$0.23,$0.16,$0.17,$0.34,$0.16,$0.12,$0.10,$0.09
MAC-10,Lapis Gator,Mil-Spec SMG,0.00,0.50,Operation Wildfire Case,$2.59,$1.26,$0.60,$0.63,$0.46,$0.76,$0.57,$0.61,$0.50,$0.50
MAC-10,Rangeen,Mil-Spec SMG,0.00,0.50,Shadow Case,$1.76,$0.80,$0.37,$0.63,$0.46,$0.50,$0.29,$0.16,$0.13,$0.21
MAC-10,Ultraviolet,Mil-Spec SMG,0.06,0.80,eSports 2014 Summer Case,$92.32,$5.14,$1.53,$1.52,$1.08,$37.28,$3.13,$1.96,$1.40,$1.39
MP5-SD,Phosphor,Classified SMG,0.00,0.80,Danger Zone Case,$22.97,$12.85,$6.90,$8.28,$7.27,$9.80,$5.22,$3.26,$3.57,$3.33
MP5-SD,Kitbash,Restricted SMG,0.00,0.80,Fracture Case,$4.00,$1.69,$0.66,$0.89,$0.55,$1.41,$0.71,$0.42,$0.34,$0.27
MP5-SD,Agent,Restricted SMG,0.00,1.00,CS20 Case,$14.86,$3.04,$1.35,$1.06,$1.33,$3.62,$1.08,$0.65,$0.51,$0.54
MP5-SD,Gauss,Restricted SMG,0.00,1.00,Prisma Case,$3.34,$1.11,$0.46,$0.42,$0.47,$1.23,$0.50,$0.26,$0.26,$0.24
MP5-SD,Liquidation,Mil-Spec SMG,0.00,1.00,Revolution Case,$2.72,$0.43,$0.16,$0.13,$0.15,$0.32,$0.12,$0.09,$0.07,$0.07
MP5-SD,Necro Jr.,Mil-Spec SMG,0.00,1.00,Dreams & Nightmares Case,$1.26,$0.32,$0.14,$0.13,$0.17,$0.25,$0.11,$0.07,$0.07,$0.07
MP5-SD,Condition Zero,Mil-Spec SMG,0.00,1.00,Operation Broken Fang Case,$4.98,$1.16,$0.46,$0.37,$0.36,$1.00,$0.60,$0.52,$0.42,$0.40
MP5-SD,Desert Strike,Mil-Spec SMG,0.00,1.00,Prisma 2 Case,$1.79,$0.26,$0.12,$0.11,$0.11,$0.27,$0.11,$0.08,$0.07,$0.07
MP5-SD,Acid Wash,Mil-Spec SMG,0.00,0.68,Shattered Web Case,$5.00,$2.26,$0.80,$2.73,$0.74,$1.33,$1.04,$1.07,$1.06,$0.93
MP7,Bloodsport,Covert SMG,0.00,0.65,Clutch Case,$19.00,$8.00,$4.91,$7.42,$5.13,$4.14,$2.33,$1.39,$2.32,$1.40
MP7,Abyssal Apparition,Classified SMG,0.00,1.00,Dreams & Nightmares Case,$22.57,$6.44,$2.78,$2.18,$2.13,$8.39,$3.23,$1.49,$1.26,$1.24
MP7,Nemesis,Classified SMG,0.00,0.32,Falchion Case,$43.10,$17.34,$13.69,Not Possible,Not Possible,$12.44,$6.45,$5.57,Not Possible,Not Possible
MP7,Neon Ply,Restricted SMG,0.00,1.00,Shattered Web Case,$17.25,$7.64,$2.99,$2.45,$2.13,$6.29,$3.00,$1.90,$1.26,$0.96
MP7,Powercore,Restricted SMG,0.00,0.80,Horizon Case,$7.50,$3.73,$1.51,$2.08,$1.26,$3.03,$1.44,$0.80,$0.72,$0.53
MP7,Impire,Restricted SMG,0.00,0.40,Operation Wildfire Case,$9.51,$6.72,$5.35,$6.29,Not Possible,$4.40,$3.06,$2.30,$2.50,Not Possible
MP7,Special Delivery,Restricted SMG,0.00,0.62,Shadow Case,$12.03,$6.76,$3.05,$2.72,$4.40,$4.38,$2.49,$1.26,$1.11,$1.06
MP7,Ocean Foam,Restricted SMG,0.00,0.08,eSports 2014 Summer Case,$10.89,$11.21,Not Possible,Not Possible,Not Possible,$4.98,$4.54,Not Possible,Not Possible,Not Possible
MP7,Guerrilla,Mil-Spec SMG,0.00,1.00,Operation Riptide Case,$4.48,$2.49,$0.87,$0.37,$0.36,$1.51,$0.86,$0.37,$0.32,$0.29
