Weapon,Case,Rarity,Min Wear,Max Wear,Case_1,StatTrak Factory New,StatTrak Minimal Wear,StatTrak Field-Tested,StatTrak Well-Worn,StatTrak Battle-Scarred,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred
SG 553,Phantom,Restricted Rifle,0.00,0.60,Spectrum 2 Case,$4.05,$1.87,$1.09,$1.28,$1.32,$1.38,$0.64,$0.38,$0.42,$0.39
SG 553,Triarch,Restricted Rifle,0.00,1.00,Gamma 2 Case,$6.84,$1.39,$0.61,$0.49,$0.61,$1.92,$0.57,$0.28,$0.24,$0.25
SG 553,Tiger Moth,Restricted Rifle,0.00,1.00,Revolver Case,$9.49,$4.02,$1.84,$1.51,$1.33,$2.56,$1.32,$0.73,$0.43,$0.46
SG 553,Pulse,Restricted Rifle,0.10,0.60,Operation Phoenix Weapon Case,Not Possible,$10.99,$3.37,$3.63,$3.38,Not Possible,$3.88,$2.31,$2.44,$2.01
SG 553,Cyberforce,Mil-Spec Rifle,0.00,0.90,Revolution Case,$2.16,$0.43,$0.16,$0.14,$0.15,$0.37,$0.12,$0.08,$0.07,$0.07
SG 553,Heavy Metal,Mil-Spec Rifle,0.00,1.00,Snakebite Case,$1.68,$0.61,$0.25,$0.23,$0.24,$0.46,$0.16,$0.09,$0.09,$0.09
SG 553,Ol' Rusty,Mil-Spec Rifle,0.00,0.70,Fracture Case,$0.71,$0.24,$0.12,$0.12,$0.11,$0.19,$0.11,$0.07,$0.07,$0.07
SG 553,Danger Close,Mil-Spec Rifle,0.02,0.80,Danger Zone Case,$1.80,$0.32,$0.14,$0.21,$0.12,$0.24,$0.12,$0.08,$0.08,$0.07
SG 553,Aloha,Mil-Spec Rifle,0.00,0.55,Clutch Case,$0.72,$0.25,$0.12,$0.11,$0.12,$0.20,$0.11,$0.07,$0.07,$0.07
SG 553,Aerial,Mil-Spec Rifle,0.00,0.60,Gamma Case,$1.09,$0.55,$0.23,$0.42,$0.17,$0.27,$0.14,$0.11,$0.12,$0.11
SG 553,Atlas,Mil-Spec Rifle,0.00,0.81,Chroma 3 Case,$1.26,$0.48,$0.16,$0.42,$0.12,$0.28,$0.13,$0.08,$0.08,$0.07
SG 553,Wave Spray,Mil-Spec Rifle,0.06,0.80,Operation Bravo Case,$81.80,$8.88,$6.45,$6.34,$6.12,$20.30,$8.10,$8.22,$7.20,$7.14
SG 553,Ultraviolet,Mil-Spec Rifle,0.06,0.80,CS:GO Weapon Case,$138.74,$24.54,$19.96,$20.27,$21.50,$46.99,$21.85,$20.09,$19.33,$19.90
SSG 08,Dragonfire,Covert Sniper Rifle,0.00,0.50,Glove Case,$104.22,$54.77,$41.18,$48.03,$40.37,$22.93,$15.31,$12.07,$12.99,$12.01
SSG 08,Blood in the Water,Covert Sniper Rifle,0.06,0.20,CS:GO Weapon Case 2,$521.95,$217.18,$228.43,Not Possible,Not Possible,$71.80,$51.48,$50.00,Not Possible,Not Possible
SSG 08,Turbo Peek,Classified Sniper Rifle,0.00,0.60,Operation Riptide Case,$54.33,$29.00,$12.37,$14.99,$13.04,$17.63,$8.13,$5.10,$5.36,$4.37
SSG 08,Bloodshot,Classified Sniper Rifle,0.14,0.60,Shattered Web Case,Not Possible,No Recent Price,$20.70,$24.54,$22.93,Not Possible,$64.14,$8.24,$7.64,$7.53
SSG 08,Big Iron,Classified Sniper Rifle,0.00,0.64,Shadow Case,$62.96,$37.69,$18.22,$16.24,$17.71,$22.42,$13.61,$7.59,$6.87,$6.44
SSG 08,Parallax,Restricted Sniper Rifle,0.00,1.00,Operation Broken Fang Case,$23.76,$7.78,$3.30,$2.60,$2.79,$5.75,$3.83,$2.76,$1.85,$1.70
SSG 08,Fever Dream,Restricted Sniper Rifle,0.00,0.72,Prisma 2 Case,$8.08,$3.27,$1.24,$3.51,$1.12,$1.88,$0.94,$0.37,$0.63,$0.30
SSG 08,Death's Head,Restricted Sniper Rifle,0.00,0.51,Operation Hydra Case,$22.45,$21.41,$14.83,$14.19,$16.76,$10.60,$8.70,$7.70,$9.31,$7.28
SSG 08,Ghost Crusader,Restricted Sniper Rifle,0.00,1.00,Chroma 3 Case,$14.26,$5.41,$1.70,$1.15,$1.03,$3.45,$1.39,$0.52,$0.28,$0.25
SSG 08,Mainframe 001,Mil-Spec Sniper Rifle,0.00,1.00,Fracture Case,$2.12,$0.34,$0.14,$0.12,$0.11,$0.30,$0.11,$0.07,$0.07,$0.07
SSG 08,Necropos,Mil-Spec Sniper Rifle,0.00,1.00,Operation Wildfire Case,$8.79,$1.10,$0.57,$0.46,$0.42,$1.15,$0.55,$0.58,$0.39,$0.42
SSG 08,Dark Water,Mil-Spec Sniper Rifle,0.10,0.26,eSports 2014 Summer Case,Not Possible,$2.85,$1.95,Not Possible,Not Possible,Not Possible,$1.99,$2.12,Not Possible,Not Possible
SSG 08,Abyss,Mil-Spec Sniper Rifle,0.00,1.00,Operation Breakout Weapon Case,$12.09,$1.85,$0.72,$0.48,$0.50,$3.15,$0.54,$0.23,$0.13,$0.13
SSG 08,Slashed,Mil-Spec Sniper Rifle,0.15,0.80,Huntsman Weapon Case,Not Possible,Not Possible,$1.81,$1.64,$1.47,Not Possible,Not Possible,$2.67,$2.33,$2.34
